Charge_type,Charge_size,Distance,Pressure
TNT,0.5,1.5,283000
TNT,0.5,2.5,164000
TNT,0.5,3.5,136000
TNT,0.5,4.5,124000
TNT,0.5,5.5,118000
TNT,0.5,6.5,114000
TNT,0.5,7.5,111000
TNT,0.5,8.5,110000
TNT,0.5,9.5,108000
TNT,0.5,10.5,107000
TNT,0.5,11.5,106000
TNT,0.5,12.5,106000
TNT,0.5,13.5,105000
TNT,0.5,14.5,105000
TNT,0.5,15.5,104000
TNT,0.5,16.5,104000
TNT,0.5,17.5,104000
TNT,0.5,18.5,103000
TNT,0.5,19.5,103000
TNT,3.5,1.5,1040000
TNT,3.5,2.5,356000
TNT,3.5,3.5,219000
TNT,3.5,4.5,172000
TNT,3.5,5.5,150000
TNT,3.5,6.5,138000
TNT,3.5,7.5,130000
TNT,3.5,8.5,125000
TNT,3.5,9.5,121000
TNT,3.5,10.5,118000
TNT,3.5,11.5,116000
TNT,3.5,12.5,114000
TNT,3.5,13.5,113000
TNT,3.5,14.5,111000
TNT,3.5,15.5,110000
TNT,3.5,16.5,109000
TNT,3.5,17.5,109000
TNT,3.5,18.5,108000
TNT,3.5,19.5,108000
TNT,7.5,1.5,1780000
TNT,7.5,2.5,586000
TNT,7.5,3.5,310000
TNT,7.5,4.5,219000
TNT,7.5,5.5,180000
TNT,7.5,6.5,158000
TNT,7.5,7.5,145000
TNT,7.5,8.5,137000
TNT,7.5,9.5,131000
TNT,7.5,10.5,126000
TNT,7.5,11.5,123000
TNT,7.5,12.5,120000
TNT,7.5,13.5,118000
TNT,7.5,14.5,116000
TNT,7.5,15.5,115000
TNT,7.5,16.5,114000
TNT,7.5,17.5,112000
TNT,7.5,18.5,112000
TNT,7.5,19.5,111000
TNT,10.5,1.5,2210000
TNT,10.5,2.5,751000
TNT,10.5,3.5,375000
TNT,10.5,4.5,253000
TNT,10.5,5.5,199000
TNT,10.5,6.5,172000
TNT,10.5,7.5,155000
TNT,10.5,8.5,144000
TNT,10.5,9.5,137000
TNT,10.5,10.5,131000
TNT,10.5,11.5,127000
TNT,10.5,12.5,124000
TNT,10.5,13.5,121000
TNT,10.5,14.5,119000
TNT,10.5,15.5,117000
TNT,10.5,16.5,116000
TNT,10.5,17.5,115000
TNT,10.5,18.5,113000
TNT,10.5,19.5,113000
TNT,13.5,1.5,2550000
TNT,13.5,2.5,909000
TNT,13.5,3.5,440000
TNT,13.5,4.5,285000
TNT,13.5,5.5,219000
TNT,13.5,6.5,184000
TNT,13.5,7.5,164000
TNT,13.5,8.5,151000
TNT,13.5,9.5,142000
TNT,13.5,10.5,136000
TNT,13.5,11.5,131000
TNT,13.5,12.5,127000
TNT,13.5,13.5,124000
TNT,13.5,14.5,122000
TNT,13.5,15.5,120000
TNT,13.5,16.5,118000
TNT,13.5,17.5,116000
TNT,13.5,18.5,115000
TNT,13.5,19.5,114000
TNT,16.5,1.5,2840000
TNT,16.5,2.5,1060000
TNT,16.5,3.5,503000
TNT,16.5,4.5,316000
TNT,16.5,5.5,237000
TNT,16.5,6.5,196000
TNT,16.5,7.5,173000
TNT,16.5,8.5,158000
TNT,16.5,9.5,147000
TNT,16.5,10.5,140000
TNT,16.5,11.5,134000
TNT,16.5,12.5,130000
TNT,16.5,13.5,127000
TNT,16.5,14.5,124000
TNT,16.5,15.5,122000
TNT,16.5,16.5,120000
TNT,16.5,17.5,118000
TNT,16.5,18.5,117000
TNT,16.5,19.5,116000
TNT,19.5,1.5,3130000
TNT,19.5,2.5,1200000
TNT,19.5,3.5,565000
TNT,19.5,4.5,347000
TNT,19.5,5.5,255000
TNT,19.5,6.5,208000
TNT,19.5,7.5,181000
TNT,19.5,8.5,164000
TNT,19.5,9.5,152000
TNT,19.5,10.5,144000
TNT,19.5,11.5,138000
TNT,19.5,12.5,133000
TNT,19.5,13.5,129000
TNT,19.5,14.5,126000
TNT,19.5,15.5,124000
TNT,19.5,16.5,121000
TNT,19.5,17.5,120000
TNT,19.5,18.5,118000
TNT,19.5,19.5,117000
TNT,21.5,1.5,3330000
TNT,21.5,2.5,1290000
TNT,21.5,3.5,607000
TNT,21.5,4.5,367000
TNT,21.5,5.5,266000
TNT,21.5,6.5,216000
TNT,21.5,7.5,186000
TNT,21.5,8.5,168000
TNT,21.5,9.5,155000
TNT,21.5,10.5,146000
