Charge_type,Charge_size,Distance,Incident_pressure
TNT,5.00E-01,1.50E+00,0.283258
TNT,5.00E-01,2.50E+00,0.163904
TNT,5.00E-01,3.50E+00,0.135678
TNT,5.00E-01,4.50E+00,0.124039
TNT,5.00E-01,5.50E+00,0.117856
TNT,5.00E-01,6.50E+00,0.114045
TNT,5.00E-01,7.50E+00,0.111486
TNT,5.00E-01,8.50E+00,0.109643
TNT,5.00E-01,9.50E+00,0.108273
TNT,5.00E-01,1.05E+01,0.107213
TNT,5.00E-01,1.15E+01,0.106363
TNT,5.00E-01,1.25E+01,0.105677
TNT,5.00E-01,1.35E+01,0.105127
TNT,5.00E-01,1.45E+01,0.104664
TNT,5.00E-01,1.55E+01,0.104269
TNT,5.00E-01,1.65E+01,0.103932
TNT,5.00E-01,1.75E+01,0.103645
TNT,5.00E-01,1.85E+01,0.10339
TNT,5.00E-01,1.95E+01,0.103175
TNT,3.50E+00,1.50E+00,1.03881
TNT,3.50E+00,2.50E+00,0.356226
TNT,3.50E+00,3.50E+00,0.219045
TNT,3.50E+00,4.50E+00,0.171841
TNT,3.50E+00,5.50E+00,0.149955
TNT,3.50E+00,6.50E+00,0.137627
TNT,3.50E+00,7.50E+00,0.129882
TNT,3.50E+00,8.50E+00,0.124594
TNT,3.50E+00,9.50E+00,0.120806
TNT,3.50E+00,1.05E+01,0.117959
TNT,3.50E+00,1.15E+01,0.115745
TNT,3.50E+00,1.25E+01,0.113975
TNT,3.50E+00,1.35E+01,0.112533
TNT,3.50E+00,1.45E+01,0.111339
TNT,3.50E+00,1.55E+01,0.110351
TNT,3.50E+00,1.65E+01,0.109493
TNT,3.50E+00,1.75E+01,0.108767
TNT,3.50E+00,1.85E+01,0.108125
TNT,3.50E+00,1.95E+01,0.107569
TNT,7.50E+00,1.50E+00,1.78486
TNT,7.50E+00,2.50E+00,0.585956
TNT,7.50E+00,3.50E+00,0.309776
TNT,7.50E+00,4.50E+00,0.21942
TNT,7.50E+00,5.50E+00,0.179503
TNT,7.50E+00,6.50E+00,0.158182
TNT,7.50E+00,7.50E+00,0.145229
TNT,7.50E+00,8.50E+00,0.136661
TNT,7.50E+00,9.50E+00,0.130649
TNT,7.50E+00,1.05E+01,0.126206
TNT,7.50E+00,1.15E+01,0.12282
TNT,7.50E+00,1.25E+01,0.120148
TNT,7.50E+00,1.35E+01,0.117993
TNT,7.50E+00,1.45E+01,0.116218
TNT,7.50E+00,1.55E+01,0.114758
TNT,7.50E+00,1.65E+01,0.113504
TNT,7.50E+00,1.75E+01,0.11244
TNT,7.50E+00,1.85E+01,0.111517
TNT,7.50E+00,1.95E+01,0.110718
TNT,1.05E+01,1.50E+00,2.20826
TNT,1.05E+01,2.50E+00,0.750852
TNT,1.05E+01,3.50E+00,0.375465
TNT,1.05E+01,4.50E+00,0.252576
TNT,1.05E+01,5.50E+00,0.199489
TNT,1.05E+01,6.50E+00,0.17154
TNT,1.05E+01,7.50E+00,0.155089
TNT,1.05E+01,8.50E+00,0.144257
TNT,1.05E+01,9.50E+00,0.136769
TNT,1.05E+01,1.05E+01,0.131266
TNT,1.05E+01,1.15E+01,0.127106
TNT,1.05E+01,1.25E+01,0.123856
TNT,1.05E+01,1.35E+01,0.121244
TNT,1.05E+01,1.45E+01,0.119104
TNT,1.05E+01,1.55E+01,0.117352
